timestamp,name,ship_type,callsign,imo,mmsi,destination,eta,draught,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2018-03-19 00:00:00.048,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:00:02.062,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:01:04.174,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:01:06.345,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:02:29.976,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:02:32.098,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:03:52.989,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:03:54.019,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:03:57.992,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:04:00.775,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:05:59.247,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:06:00.382,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:07:05.105,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:07:05.726,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:08:33.012,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:08:35.223,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:09:50.791,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:09:52.842,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:09:57.598,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:10:00.792,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:13:05.657,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:13:07.832,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:14:32.532,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:14:35.019,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:15:52.625,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:15:53.634,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:16:00.254,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:16:01.140,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:17:59.868,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:18:00.816,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:19:05.802,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:19:08.306,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:20:32.647,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:20:33.466,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:22:00.443,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:22:01.307,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:24:00.353,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:24:01.211,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:25:04.658,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:25:07.381,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:26:33.328,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:26:35.764,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:27:54.663,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:27:55.826,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:28:00.010,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:28:02.120,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:29:59.205,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:30:00.080,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:31:05.281,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:31:06.277,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:32:33.785,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:32:34.829,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:33:53.166,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:33:54.229,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:34:00.806,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:34:01.726,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:35:59.791,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:36:01.667,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:37:05.934,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:37:07.090,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:38:33.504,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:38:35.945,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:39:49.639,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:39:51.934,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:40:02.837,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:40:03.944,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:41:59.574,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:42:01.585,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:43:06.809,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:43:07.744,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:44:32.511,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:44:34.831,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:45:51.623,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:45:52.550,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:46:02.582,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:46:03.626,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:47:59.911,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:48:00.721,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 00:49:05.475,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:49:07.970,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:50:34.301,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:50:36.595,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:51:50.320,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:51:52.517,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:52:03.869,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:52:04.960,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:55:07.271,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:55:08.565,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 00:56:34.388,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:56:36.823,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 00:57:51.524,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:57:53.385,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 00:58:02.520,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 00:58:04.818,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:00:00.152,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:00:00.801,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:01:06.134,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:01:08.528,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:03:49.651,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:03:51.663,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:04:02.878,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:04:03.735,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:07:07.843,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:07:09.183,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:08:35.575,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:08:37.979,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:09:50.819,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:09:51.492,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:10:02.746,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:10:04.845,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:11:59.936,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:12:02.180,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:13:06.946,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:13:08.636,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:15:52.385,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:15:54.764,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:16:03.190,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:16:05.379,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:17:23.425,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,11,13
2018-03-19 01:17:25.556,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,11,13
2018-03-19 01:17:58.825,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:18:00.069,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:19:07.150,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:19:08.639,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:20:37.352,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:20:38.689,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:21:50.530,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:21:52.489,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:23:25.214,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,11,13
2018-03-19 01:23:26.462,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,11,13
2018-03-19 01:23:59.799,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:24:01.844,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:25:07.598,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:25:10.279,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:25:22.044,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:25:24.332,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:26:36.520,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:26:39.361,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:27:52.950,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:27:55.301,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:31:07.614,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:31:10.209,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:31:24.229,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:31:25.006,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:33:52.742,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:33:53.710,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:35:59.622,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:36:00.918,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:37:07.775,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:37:10.321,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:37:21.806,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:37:23.907,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:39:53.354,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:39:54.354,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:43:06.606,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:43:09.232,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:43:23.101,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:43:24.201,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:45:49.856,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:45:50.822,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:49:06.991,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:49:09.948,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:49:24.482,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:49:26.838,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:50:35.283,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:50:37.783,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:51:50.307,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:51:51.382,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:53:57.964,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:54:00.784,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 01:55:09.291,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:55:10.467,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 01:55:24.749,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:55:26.836,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 01:56:40.080,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 01:57:51.404,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 01:57:52.342,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:00:00.647,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 02:00:01.623,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 02:01:09.741,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:01:10.630,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:01:24.644,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:02:35.874,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:02:38.566,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:03:50.529,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:03:51.517,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:05:59.675,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 02:06:00.919,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 02:07:09.484,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:07:11.262,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:07:25.389,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:07:26.655,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:08:37.801,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:08:39.497,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:09:51.181,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:09:52.071,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:11:59.211,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 02:12:00.600,AURA,70,OJMS,9395276,230601000,VAASA,236928,43,1,10,92,10,9
2018-03-19 02:13:07.566,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:13:10.154,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:13:27.639,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:13:29.346,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:14:38.015,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:14:40.567,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:15:50.149,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:15:50.943,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:19:10.086,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:19:10.952,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:19:25.042,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:19:27.459,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:20:38.201,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:20:40.780,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:21:50.551,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:21:52.645,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
2018-03-19 02:25:10.009,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:25:12.088,KIISLA,80,OJKY,9267558,230956000,FI KEM > FI KOK,234270,79,1,111,29,8,14
2018-03-19 02:25:26.061,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:25:27.334,SISU,90,OHMW,7359656,230289000,VHF 13  ICEBREAKING,76352,80,1,35,70,12,12
2018-03-19 02:26:39.065,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:26:40.341,YMER,90,SDIA,7505346,265066000,ICEBREAKER CH69,704960,80,1,44,65,13,11
2018-03-19 02:27:50.567,BBC VIRGINIA,70,V2EK8,9501277,305463000,DE HAM VIE KIEL,241024,74,1,125,13,11,10
